# initial_x = 1
x,y
1.52149,1.76635
1.51754,-1.17922
1.27738,-0.0372226
1.52306,1.75623
1.51649,-1.18917
1.27756,-0.00350511
1.52461,1.74639
1.51543,-1.19867
1.27756,-0.00678507
1.52616,1.73621
1.51436,-1.20849
1.27755,-0.0100818
1.52769,1.72624
1.51328,-1.21798
1.27754,-0.0133642
1.52922,1.716
1.52392,-1.11778
1.27752,-0.016658
1.53074,1.70589
1.52293,-1.12761
1.27751,-0.0199416
1.53225,1.69559
1.52192,-1.13759
1.27749,-0.023233
1.53375,1.68536
1.52091,-1.14738
1.27747,-0.026517
1.51792,1.78851
1.51988,-1.15728
1.27744,-0.0298062
1.51951,1.77872
1.51885,-1.16703
1.27742,-0.0330899
1.52108,1.76881
1.51781,-1.17683
1.27738,-0.0363769
1.52265,1.75891
1.51676,-1.18653
1.27756,-0.00264651
1.52421,1.7489
1.5157,-1.19626
1.27756,-0.00593728
1.52576,1.73889
1.51464,-1.2059
1.27755,-0.00922507
1.5273,1.7288
1.51356,-1.21556
1.27754,-0.012515
1.52883,1.71869
1.52418,-1.11514
1.27753,-0.0158026
1.53035,1.7085
1.52319,-1.12509
1.27751,-0.0190916
1.53186,1.69828
1.52218,-1.13498
1.2775,-0.0223787
1.53337,1.688
1.52117,-1.14487
1.27747,-0.0256665
1.51751,1.79108
1.52015,-1.1547
1.27745,-0.0289528
1.5191,1.78125
1.51912,-1.16451
1.27742,-0.0322392
1.52068,1.77139
1.51808,-1.17428
1.27739,-0.0355243
1.52224,1.76147
1.51703,-1.18403
